size,try_no,vector*vector,vector*matrix
3401,1,0.000016,0.087523
3401,2,0.000016,0.087746
3401,3,0.000048,0.085753
3401,4,0.000016,0.084800
3401,5,0.000030,0.083454
3401,6,0.000015,0.082807
3401,7,0.000016,0.084364
3401,8,0.000016,0.082543
3401,9,0.000016,0.082780
3501,0,0.000016,0.090935
3501,1,0.000016,0.088277
3501,2,0.000015,0.089154
3501,3,0.000062,0.091059
3501,4,0.000017,0.092376
3501,5,0.000016,0.089724
3501,6,0.000017,0.090432
3501,7,0.000017,0.088297
3501,8,0.000029,0.094319
3501,9,0.000016,0.088098
3601,0,0.000017,0.092882
3601,1,0.000039,0.110477
3601,2,0.000018,0.099380
3601,3,0.000017,0.094111
3601,4,0.000016,0.095619
3601,5,0.000052,0.094978
3601,6,0.000016,0.099208
3601,7,0.000017,0.094822
3601,8,0.000015,0.098284
3601,9,0.000017,0.093203
3701,0,0.000017,0.099255
3701,1,0.000017,0.099628
3701,2,0.000032,0.097645
3701,3,0.000016,0.098828
3701,4,0.000017,0.100047
3701,5,0.000018,0.103567
3701,6,0.000018,0.098734
3701,7,0.000017,0.097389
3701,8,0.000016,0.100249
3701,9,0.000018,0.097214
3801,0,0.000016,0.102896
3801,1,0.000017,0.101343
3801,2,0.000017,0.102987
3801,3,0.000016,0.105012
3801,4,0.000019,0.115382
3801,5,0.000037,0.119898
3801,6,0.000019,0.107819
3801,7,0.000018,0.103170
3801,8,0.000017,0.104945
3801,9,0.000018,0.105918
3901,0,0.000018,0.108315
3901,1,0.000017,0.111351
3901,2,0.000033,0.113176
3901,3,0.000019,0.113030
3901,4,0.000020,0.111859
3901,5,0.000018,0.107618
3901,6,0.000017,0.113591
3901,7,0.000017,0.108161
3901,8,0.000018,0.107153
3901,9,0.000017,0.107136
4001,0,0.000018,0.113100
4001,1,0.000018,0.116289
4001,2,0.000018,0.114565
4001,3,0.000019,0.114781
4001,4,0.000018,0.115407
4001,5,0.000018,0.121768
4001,6,0.000018,0.113431
4001,7,0.000023,0.114595
4001,8,0.000018,0.114135
4001,9,0.000018,0.114786
4101,0,0.000019,0.117914
4101,1,0.000018,0.121520
4101,2,0.000019,0.127879
4101,3,0.000019,0.119846
4101,4,0.000019,0.119337
4101,5,0.000018,0.119054
4101,6,0.000018,0.119406
4101,7,0.000018,0.121963
4101,8,0.000018,0.118739
4101,9,0.000018,0.120662
4201,0,0.000033,0.125770
4201,1,0.000019,0.122076
4201,2,0.000019,0.125692
4201,3,0.000019,0.126739
4201,4,0.000033,0.125182
4201,5,0.000019,0.128124
4201,6,0.000019,0.126799
4201,7,0.000019,0.129780
4201,8,0.000020,0.130799
4201,9,0.000020,0.130711
4301,0,0.000021,0.133365
4301,1,0.000020,0.138223
4301,2,0.000038,0.129074
4301,3,0.000020,0.133555
4301,4,0.000019,0.133979
4301,5,0.000019,0.134292
4301,6,0.000020,0.138323
4301,7,0.000020,0.132447
4301,8,0.000020,0.133961
4301,9,0.000020,0.131036
4401,0,0.000020,0.138636
4401,1,0.000019,0.133975
4401,2,0.000022,0.143974
4401,3,0.000019,0.137712
4401,4,0.000020,0.138603
4401,5,0.000019,0.141193
4401,6,0.000031,0.141409
4401,7,0.000019,0.142096
4401,8,0.000020,0.138319
4401,9,0.000020,0.135107
4501,0,0.000021,0.155008
4501,1,0.000020,0.144739
4501,2,0.000021,0.148043
4501,3,0.000021,0.146168
4501,4,0.000021,0.146380
4501,5,0.000021,0.146636
4501,6,0.000022,0.140414
4501,7,0.000020,0.141118
4501,8,0.000021,0.144954
4501,9,0.000020,0.145997
4601,0,0.000019,0.151995
4601,1,0.000021,0.157716
4601,2,0.000022,0.151422
4601,3,0.000019,0.165909
4601,4,0.000033,0.153790
4601,5,0.000021,0.154188
4601,6,0.000034,0.152009
4601,7,0.000021,0.148267
4601,8,0.000020,0.161685
4601,9,0.000021,0.148143
4701,0,0.000021,0.152927
4701,1,0.000020,0.154514
4701,2,0.000021,0.155579
4701,3,0.000021,0.157702
4701,4,0.000023,0.156907
4701,5,0.000034,0.157739
4701,6,0.000020,0.188195
4701,7,0.000021,0.158554
4701,8,0.000022,0.156392
4701,9,0.000021,0.159431
4801,0,0.000055,0.165108
